Index,Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,day_of_week
211,2023/24,Crystal Palace,Sheffield United,3,2,H,Tuesday
212,2023/24,Aston Villa,Newcastle,1,3,A,Tuesday
213,2023/24,Man City,Burnley,3,1,H,Wednesday
214,2023/24,Tottenham,Brentford,3,2,H,Wednesday
215,2023/24,Liverpool,Chelsea,4,1,H,Wednesday
216,2023/24,West Ham,Bournemouth,1,1,D,Thursday
217,2023/24,Wolves,Man United,3,4,A,Thursday
218,2023/24,Everton,Tottenham,2,2,D,Saturday
219,2023/24,Brighton,Crystal Palace,4,1,H,Saturday
220,2023/24,Burnley,Fulham,2,2,D,Saturday
221,2023/24,Newcastle,Luton,4,4,D,Saturday
222,2023/24,Sheffield United,Aston Villa,0,5,A,Saturday
223,2023/24,Bournemouth,Nott'm Forest,1,1,D,Sunday
224,2023/24,Chelsea,Wolves,2,4,A,Sunday
225,2023/24,Man United,West Ham,3,0,H,Sunday
226,2023/24,Arsenal,Liverpool,3,1,H,Sunday
227,2023/24,Brentford,Man City,1,3,A,Monday
228,2023/24,Man City,Everton,2,0,H,Saturday
229,2023/24,Fulham,Bournemouth,3,1,H,Saturday
230,2023/24,Liverpool,Burnley,3,1,H,Saturday
231,2023/24,Luton,Sheffield United,1,3,A,Saturday
232,2023/24,Tottenham,Brighton,2,1,H,Saturday
233,2023/24,Wolves,Brentford,0,2,A,Saturday
234,2023/24,Nott'm Forest,Newcastle,2,3,A,Saturday
235,2023/24,West Ham,Arsenal,0,6,A,Sunday
236,2023/24,Aston Villa,Man United,1,2,A,Sunday
237,2023/24,Crystal Palace,Chelsea,1,3,A,Monday
238,2023/24,Brentford,Liverpool,1,4,A,Saturday
239,2023/24,Burnley,Arsenal,0,5,A,Saturday
240,2023/24,Fulham,Aston Villa,1,2,A,Saturday
241,2023/24,Newcastle,Bournemouth,2,2,D,Saturday
242,2023/24,Nott'm Forest,West Ham,2,0,H,Saturday
243,2023/24,Tottenham,Wolves,1,2,A,Saturday
244,2023/24,Man City,Chelsea,1,1,D,Saturday
245,2023/24,Sheffield United,Brighton,0,5,A,Sunday
246,2023/24,Luton,Man United,1,2,A,Sunday
247,2023/24,Everton,Crystal Palace,1,1,D,Monday
248,2023/24,Man City,Brentford,1,0,H,Tuesday
249,2023/24,Liverpool,Luton,4,1,H,Wednesday
250,2023/24,Aston Villa,Nott'm Forest,4,2,H,Saturday
251,2023/24,Brighton,Everton,1,1,D,Saturday
252,2023/24,Crystal Palace,Burnley,3,0,H,Saturday
253,2023/24,Man United,Fulham,1,2,A,Saturday
254,2023/24,Bournemouth,Man City,0,1,A,Saturday
255,2023/24,Arsenal,Newcastle,4,1,H,Saturday
256,2023/24,Wolves,Sheffield United,1,0,H,Sunday
257,2023/24,West Ham,Brentford,4,2,H,Monday
258,2023/24,Brentford,Chelsea,2,2,D,Saturday
259,2023/24,Everton,West Ham,1,3,A,Saturday
260,2023/24,Fulham,Brighton,3,0,H,Saturday
261,2023/24,Newcastle,Wolves,3,0,H,Saturday
262,2023/24,Nott'm Forest,Liverpool,0,1,A,Saturday
263,2023/24,Tottenham,Crystal Palace,3,1,H,Saturday
264,2023/24,Luton,Aston Villa,2,3,A,Saturday
265,2023/24,Burnley,Bournemouth,0,2,A,Sunday
266,2023/24,Man City,Man United,3,1,H,Sunday
267,2023/24,Sheffield United,Arsenal,0,6,A,Monday
268,2023/24,Man United,Everton,2,0,H,Saturday
269,2023/24,Bournemouth,Sheffield United,2,2,D,Saturday
270,2023/24,Crystal Palace,Luton,1,1,D,Saturday
271,2023/24,Wolves,Fulham,2,1,H,Saturday
272,2023/24,Arsenal,Brentford,2,1,H,Saturday
273,2023/24,Aston Villa,Tottenham,0,4,A,Sunday
274,2023/24,Brighton,Nott'm Forest,1,0,H,Sunday
275,2023/24,West Ham,Burnley,2,2,D,Sunday
276,2023/24,Liverpool,Man City,1,1,D,Sunday
277,2023/24,Chelsea,Newcastle,3,2,H,Monday
278,2023/24,Bournemouth,Luton,4,3,H,Wednesday
279,2023/24,Burnley,Brentford,2,1,H,Saturday
280,2023/24,Luton,Nott'm Forest,1,1,D,Saturday
281,2023/24,Fulham,Tottenham,3,0,H,Saturday
282,2023/24,West Ham,Aston Villa,1,1,D,Sunday
283,2023/24,Newcastle,West Ham,4,3,H,Saturday
284,2023/24,Bournemouth,Everton,2,1,H,Saturday
285,2023/24,Chelsea,Burnley,2,2,D,Saturday
286,2023/24,Nott'm Forest,Crystal Palace,1,1,D,Saturday
287,2023/24,Sheffield United,Fulham,3,3,D,Saturday
288,2023/24,Tottenham,Luton,2,1,H,Saturday
